# Curated platform-default nutrition mappings, reviewed from
# scripts/seed-nutrition-mappings.ts proposals against the production
# corpus (2026-06-08). Columns: key, corpus_count, source, source_id,
# data_type, description. Only confidently-correct generic staples are
# included; ambiguous / compound / no-good-generic ingredients (garam
# masala, chipotle in adobo, cardamom pods, bone-in chicken breasts, …)
# are intentionally left out so the live v2 matcher handles them.
# Regenerate proposals: deno run … scripts/seed-nutrition-mappings.ts
# Emit migration body: … scripts/seed-nutrition-mappings.ts --emit-sql THIS_FILE
salt and pepper	92	USDA_FDC	746775	Foundation	Salt, table, iodized
salt	89	USDA_FDC	746775	Foundation	Salt, table, iodized
kosher salt	67	USDA_FDC	746775	Foundation	Salt, table, iodized
fine sea salt	13	USDA_FDC	746775	Foundation	Salt, table, iodized
sugar	51	USDA_FDC	746784	Foundation	Sugars, granulated
granulated sugar	18	USDA_FDC	746784	Foundation	Sugars, granulated
packed brown sugar	14	USDA_FDC	2710260	Survey (FNDDS)	Sugar, brown
dark brown sugar	6	USDA_FDC	2710260	Survey (FNDDS)	Sugar, brown
honey	17	USDA_FDC	169640	SR Legacy	Honey
extra-virgin olive oil	57	USDA_FDC	171413	SR Legacy	Oil, olive, salad or cooking
olive oil	35	USDA_FDC	171413	SR Legacy	Oil, olive, salad or cooking
toasted sesame oil	8	USDA_FDC	171016	SR Legacy	Oil, sesame, salad or cooking
roasted sesame oil	7	USDA_FDC	171016	SR Legacy	Oil, sesame, salad or cooking
neutral oil	7	USDA_FDC	171027	SR Legacy	Oil, safflower, salad or cooking, high oleic
peanut, rice bran, or other neutral oil	22	USDA_FDC	171027	SR Legacy	Oil, safflower, salad or cooking, high oleic
garlic cloves, minced	38	USDA_FDC	1104647	Foundation	Garlic, raw
garlic cloves	37	USDA_FDC	1104647	Foundation	Garlic, raw
minced garlic	10	USDA_FDC	1104647	Foundation	Garlic, raw
garlic	10	USDA_FDC	1104647	Foundation	Garlic, raw
garlic, chopped	6	USDA_FDC	1104647	Foundation	Garlic, raw
onion	24	USDA_FDC	170000	SR Legacy	Onions, raw
onions	8	USDA_FDC	170000	SR Legacy	Onions, raw
onion, chopped fine	10	USDA_FDC	170000	SR Legacy	Onions, raw
onions, chopped fine	6	USDA_FDC	170000	SR Legacy	Onions, raw
unsalted butter	33	USDA_FDC	173430	SR Legacy	Butter, without salt
butter	20	USDA_FDC	173410	SR Legacy	Butter, salted
whole milk	12	USDA_FDC	746782	Foundation	Milk, whole, 3.25% milkfat, with added vitamin D
heavy cream	12	USDA_FDC	170859	SR Legacy	Cream, fluid, heavy whipping
all-purpose flour	20	USDA_FDC	789890	Foundation	Flour, wheat, all-purpose, enriched, bleached
cornstarch	13	USDA_FDC	169698	SR Legacy	Cornstarch
instant tapioca	15	USDA_FDC	169717	SR Legacy	Tapioca, pearl, dry
baking soda	20	USDA_FDC	175040	SR Legacy	Leavening agents, baking soda
chicken broth	32	USDA_FDC	172884	SR Legacy	Soup, stock, chicken, home-prepared
soy sauce	16	USDA_FDC	174277	SR Legacy	Soy sauce made from soy and wheat (shoyu)
light soy sauce or shoyu	13	USDA_FDC	174277	SR Legacy	Soy sauce made from soy and wheat (shoyu)
light soy sauce	6	USDA_FDC	174277	SR Legacy	Soy sauce made from soy and wheat (shoyu)
